Wavlength (nm),b,g,r,re,nir
559,0.000317789,0.973752971,0.004140503,0.003412709,0.001907154
560,0.000342167,0.98196574,0.004515134,0.003508164,0.001525759
561,0.00039411,0.99370148,0.004697187,0.00372976,0.001018894
562,0.000341434,1,0.004633063,0.003177777,0.001097623
563,0.000319491,0.996806943,0.004990597,0.004653904,0.001214394
564,0.000422987,0.976586024,0.004244755,0.005908818,0.001359228
565,0.000309264,0.937318937,0.004076498,0.006740243,0.001341079
566,0.000264294,0.872290034,0.004037466,0.006540682,0.001244795
567,0.000333103,0.712962142,0.003842137,0.008385943,0.001795912
568,0.000255262,0.562543932,0.004222375,0.016107918,0.002146997
569,0.00022602,0.401187687,0.004165557,0.021625903,0.002192635
570,0.000268651,0.20201953,0.004798766,0.023764178,0.002155928
571,0.000328407,0.117157658,0.00535077,0.017158952,0.002355255
572,0.000352265,0.066517642,0.006145937,0.010562796,0.002193037
573,0.000364532,0.030638521,0.007171343,0.006012296,0.001853172
574,0.000397036,0.020380138,0.007472969,0.005045309,0.002175392
575,0.00038411,0.012906843,0.007462094,0.002625267,0.002241843
576,0.000419945,0.01042919,0.010315134,0.003450165,0.0027119
577,0.0003906,0.009048267,0.01398116,0.002611366,0.003015809
578,0.000267936,0.007800263,0.01522575,0.002592471,0.003855964
579,0.000325964,0.007470872,0.011986497,0.003118086,0.003970741
580,0.000433891,0.007160494,0.007965506,0.003502994,0.004681092
581,0.000598366,0.006881077,0.005571583,0.002581612,0.003851176
582,0.000545039,0.006657836,0.005300816,0.002379275,0.00296198
583,0.000673814,0.006798271,0.005247089,0.002168359,0.002831535
584,0.001781791,0.006768098,0.009953102,0.000311091,0.002368745
585,0.003349056,0.007586692,0.016825162,0.002085755,0.004248055
586,0.003924464,0.007375193,0.019833852,0.001554047,0.002850471
587,0.003294456,0.006886845,0.016396005,0.000620854,0.002290306
588,0.00234012,0.006384606,0.011175272,0.000102602,0.002372063
589,0.001263169,0.00663768,0.005955526,0.001546506,0.00285116
590,0.00076663,0.006927168,0.004064837,0.001541015,0.002908701
591,0.000861935,0.007370113,0.003608508,0.003567365,0.003047961
592,0.000657754,0.00697232,0.002339116,0.007069192,0.002829167
593,0.000405309,0.006809227,0.001848958,0.010895968,0.002660536
594,0.000316333,0.007679919,0.001529325,0.009750962,0.00208781
595,0.000448595,0.00735288,0.001402549,0.005595248,0.002016042
596,0.00032954,0.007316546,0.00131444,0.002926655,0.002370459
597,0.000224969,0.007499913,0.001147279,0.001152319,0.002409477
598,0.000296709,0.007769486,0.001188462,0.001041202,0.002689466
599,0.000299681,0.007892526,0.001330767,0.002142359,0.002975798
600,0.000187984,0.007935337,0.001242612,0.000819267,0.002723206
601,0.000253827,0.008506402,0.000911059,0.000539241,0.002760709
602,0.000289809,0.008599806,0.001184276,0.001424902,0.002837303
603,0.000255688,0.009261968,0.001223108,0.002203943,0.002717356
604,0.000169692,0.010335457,0.001162396,0.001046119,0.003190992
605,0.000231952,0.012361316,0.000917365,0.001203273,0.003767818
606,0.000299394,0.013640134,0.000836688,0.000509318,0.004110565
607,0.000202851,0.012232854,0.000734012,0.000835949,0.004208364
608,0.000355508,0.009991881,0.00083622,0.001739186,0.004806501
609,0.000215754,0.008002162,0.000842573,8.11E-05,0.004450443
610,0.000290057,0.005798082,0.001119806,0.000837201,0.00359641
611,0.000288938,0.004451124,0.000700703,0.000144223,0.003376865
612,0.00013171,0.003465843,0.000736731,0.000795555,0.002821448
613,0.000227632,0.002877688,0.000624434,0.001342967,0.002878249
614,0.00022577,0.002374541,0.000730801,7.59E-05,0.002914609
615,0.000257733,0.002133354,0.000930724,0.000696478,0.003223034
