Wavelength (nm), Blue, Green, Red, NIR
700,0.000911369,0,0.001091107,0
701,0.000911369,0,0.001091107,0
702,0.000911369,0,0.001091107,0
703,0.000911369,0,0.001091107,0
704,0.000911369,0,0.001091107,0
705,0.000911369,0,0.001091107,0
706,0.000911369,0,0.001091107,0
707,0.000911369,0,0.001091107,0
708,0.001139212,0,0.001091107,0
709,0.001139212,0,0.001091107,0
710,0.001139212,0,0.001091107,0
711,0.001139212,0,0.001091107,0
712,0.000911369,0,0.001091107,0
713,0.000911369,0,0.001091107,0
714,0.000911369,0,0.001091107,0
715,0.000911369,0,0.001091107,0
716,0.000911369,0,0.001091107,0
717,0.000911369,0,0.001091107,0
718,0.000911369,0,0.001091107,0
719,0.000911369,0,0.001091107,0
720,0.000911369,0,0.001091107,0
721,0.000911369,0,0.001091107,0
722,0.000911369,0,0.001091107,0
723,0.000911369,0,0.001091107,0
724,0.000911369,0,0.001091107,0
725,0.000911369,0,0.000818331,0
726,0.000911369,0,0.000818331,0
727,0.000911369,0,0.000818331,0
728,0.000911369,0,0.000818331,0
729,0.000911369,0,0.000818331,0
730,0.000911369,0,0.000818331,0
731,0.000911369,0,0.000818331,0
732,0.000911369,0,0.000818331,0
733,0.000911369,0,0.000818331,0
734,0.000911369,0,0.000818331,0
735,0.000911369,0,0.000818331,0
736,0.000911369,0,0.000818331,0
737,0.000911369,0,0.000818331,0
738,0.000911369,0,0.000818331,0
739,0.000911369,0,0.000818331,0
740,0.000911369,0,0.000818331,0
741,0.000911369,0,0.000818331,0
742,0.000911369,0,0.000818331,0
743,0.000911369,0,0.000818331,0
744,0.000911369,0,0.000818331,0
745,0.000911369,0,0.000818331,0
746,0.000911369,0,0.000818331,0
747,0.000911369,0,0.000818331,0
748,0.000911369,0,0.000818331,0
749,0.000911369,0,0.000818331,0
750,0.000911369,0,0.000818331,0
751,0.000911369,0,0.000818331,0
752,0.000911369,0,0.000818331,0
753,0.000911369,0,0.000818331,0
754,0.000911369,0,0.000818331,0
755,0.000911369,0,0.000818331,0
756,0.000911369,0,0.000818331,0
757,0.000911369,0,0.000818331,0
758,0.000911369,0,0.000818331,0
759,0.000911369,0,0.000818331,0
760,0.000911369,0,0.000818331,0
761,0.000911369,0,0.000818331,0
762,0.000911369,0,0.000818331,0
763,0.000911369,0,0.000818331,0
764,0.000911369,0,0.000818331,0
765,0.000911369,0,0.000818331,0
766,0.000911369,0,0.000818331,0
767,0.000911369,0,0.000818331,0
768,0.000911369,0,0.000818331,0
769,0.000911369,0,0.000818331,0
770,0.000911369,0,0.000818331,0
771,0.000911369,0,0.000818331,0
772,0.000911369,0,0.000818331,0
773,0.000911369,0,0.000818331,0
774,0.000911369,0,0.000818331,0
775,0.000911369,0,0.000818331,0
776,0.000911369,0,0.000818331,0
777,0.000911369,0,0.000818331,0
778,0.000911369,0,0.000818331,0
779,0.000911369,0,0.000818331,0
780,0.000911369,0,0.000818331,0
781,0.000911369,0,0.000818331,0
782,0.000911369,0,0.000818331,0
783,0.000911369,0,0.000818331,0
784,0.000911369,0,0.000818331,0
785,0.000911369,0,0.000818331,0
786,0.000911369,0,0.000818331,0
787,0.000911369,0,0.000818331,0
788,0.000911369,0,0.000545554,0
789,0.000911369,0,0.000545554,0
790,0.000911369,0,0.000545554,0
791,0.000911369,0,0.000545554,0
792,0.000911369,0,0.000545554,0
793,0.000911369,0,0.000545554,0
794,0.000911369,0,0.000545554,0
795,0.000911369,0,0.000545554,0
796,0.000911369,0,0.000545554,0
797,0.000911369,0,0.000545554,0
798,0.000911369,0,0.000545554,0
799,0.000911369,0,0.000545554,0
800,0.000911369,0,0.000545554,0
801,0.000911369,0,0.000545554,0
802,0.000911369,0,0.000545554,0
803,0.000911369,0,0.000545554,0
804,0.000911369,0,0.000545554,0
805,0.000911369,0,0.000545554,0
806,0.000911369,0,0.000545554,0
807,0.000911369,0,0.000545554,0
808,0.000911369,0,0.000545554,0
809,0.000911369,0,0.000545554,0
810,0.000911369,0,0.000545554,0
811,0.000911369,0,0.000545554,0
812,0.000911369,0,0.000545554,0
813,0.000683527,0,0.000545554,0
814,0.000683527,0,0.000545554,0
815,0.000683527,0,0.000545554,0
816,0.000683527,0,0.000545554,0
817,0.000683527,0,0.000545554,0
818,0.000683527,0,0.000545554,0
819,0.000683527,0,0.000545554,0
820,0.000683527,0,0.000545554,0
821,0.000683527,0,0.000545554,0
822,0.000683527,0,0.000545554,0
823,0.000683527,0,0.000545554,0
824,0.000683527,0,0.000545554,0
825,0.000683527,0,0.000545554,0
826,0.000683527,0,0.000545554,0
827,0.000683527,0,0.000545554,0
828,0.000683527,0,0.000545554,0
829,0.000683527,0,0.000545554,0
830,0.000683527,0,0.000545554,0
831,0.000683527,0,0.000545554,0
832,0.000683527,0,0.000545554,0
833,0.000683527,0,0.000545554,0
834,0.000683527,0,0.000545554,0
835,0.000683527,0,0.000545554,0
836,0.000683527,0,0.000545554,0
837,0.000683527,0,0.000545554,0
838,0.000683527,0,0.000545554,0
839,0.000683527,0,0.000545554,0
840,0.000683527,0,0.000545554,0.000876424
841,0.000683527,0,0.000545554,0.001752848
842,0.000683527,0,0.000545554,0.005258545
843,0.000683527,0,0.000545554,0.01665206
844,0.000683527,0,0.000545554,0.062226117
845,0.000683527,0,0.000545554,0.263803681
846,0.000683527,0,0.000545554,0.771253287
847,0.000683527,0,0.000545554,1
848,0.000683527,0,0.000545554,0.986853637
849,0.000683527,0,0.000545554,0.985100789
850,0.000683527,0,0.000272777,0.974583699
851,0.000683527,0,0.000272777,0.953549518
852,0.000683527,0,0.000272777,0.942156004
853,0.000683527,0,0.000272777,0.941279579
854,0.000683527,0,0.000272777,0.940403155
855,0.000683527,0,0.000272777,0.932515337
856,0.000683527,0,0.000272777,0.916739702
857,0.000683527,0,0.000272777,0.901840491
858,0.000683527,0,0.000272777,0.893952673
859,0.000683527,0,0.000272777,0.893076249
860,0.000683527,0,0.000272777,0.891323401
861,0.000683527,0,0.000272777,0.884312007
862,0.000683527,0,0.000272777,0.875547765
863,0.000683527,0,0.000272777,0.865907099
864,0.000683527,0,0.000272777,0.85977213
865,0.000683527,0,0.000272777,0.858019281
866,0.000683527,0,0.000272777,0.858895706
867,0.000683527,0,0.000272777,0.857142857
868,0.000683527,0,0.000272777,0.851007888
869,0.000683527,0,0.000272777,0.840490798
870,0.000683527,0,0.000272777,0.831726556
871,0.000683527,0,0.000272777,0.825591586
872,0.000455685,0,0.000272777,0.820333041
873,0.000455685,0,0.000272777,0.813321648
874,0.000455685,0,0.000272777,0.801928133
875,0.000455685,0,0.000272777,0.787905346
876,0.000455685,0,0.000272777,0.773882559
877,0.000455685,0,0.000272777,0.762489045
878,0.000455685,0,0.000272777,0.756354075
879,0.000455685,0,0.000272777,0.75109553
880,0.000455685,0,0.000272777,0.743207713
881,0.000455685,0,0.000272777,0.732690622
882,0.000455685,0,0.000272777,0.721297108
883,0.000455685,0,0.000272777,0.714285714
884,0.000455685,0,0.000272777,0.704645048
885,0.000455685,0,0.000272777,0.690622261
886,0.000455685,0,0.000272777,0.681858019
887,0.000455685,0,0.000272777,0.667835232
888,0.000455685,0,0.000272777,0.454864154
889,0.000455685,0,0.000272777,0.141980719
890,0.000455685,0,0.000272777,0.035933392
891,0.000455685,0,0.000272777,0.01051709
892,0.000455685,0,0.000272777,0.003505697
893,0.000455685,0,0.000272777,0.000876424
894,0.000455685,0,0.000272777,0.000876424
895,0.000455685,0,0.000272777,0
896,0.000455685,0,0.000272777,0
897,0.000455685,0,0.000272777,0
898,0.000455685,0,0.000272777,0
899,0.000455685,0,0.000272777,0
900,0.000455685,0,0.000272777,0
901,0.000455685,0,0.000272777,0
902,0.000455685,0,0.000272777,0
903,0.000455685,0,0.000272777,0
904,0.000455685,0,0.000272777,0
905,0.000455685,0,0.000272777,0
906,0.000455685,0,0.000272777,0
907,0.000455685,0,0.000272777,0
908,0.000455685,0,0.000272777,0
909,0.000455685,0,0.000272777,0
910,0.000455685,0,0.000272777,0
911,0.000455685,0,0.000272777,0
912,0.000455685,0,0.000272777,0
913,0.000455685,0,0.000272777,0
914,0.000455685,0,0.000272777,0
915,0.000455685,0,0.000272777,0
916,0.000455685,0,0.000272777,0
917,0.000455685,0,0.000272777,0
918,0.000455685,0,0.000272777,0
919,0.000455685,0,0.000272777,0
920,0.000455685,0,0.000272777,0
921,0.000455685,0,0.000272777,0
922,0.000455685,0,0.000272777,0
923,0.000455685,0,0.000272777,0
924,0.000455685,0,0.000272777,0
925,0.000227842,0,0.000272777,0
926,0.000227842,0,0.000272777,0
927,0.000227842,0,0.000272777,0
928,0.000227842,0,0.000272777,0
929,0.000227842,0,0.000272777,0
930,0.000227842,0,0.000272777,0
931,0.000227842,0,0.000272777,0
932,0.000227842,0,0.000272777,0
933,0.000227842,0,0.000272777,0
934,0.000227842,0,0.000272777,0
935,0.000227842,0,0.000272777,0
936,0.000227842,0,0.000272777,0
937,0.000227842,0,0.000272777,0
938,0.000227842,0,0.000272777,0
939,0.000227842,0,0.000272777,0
940,0.000227842,0,0.000272777,0
941,0.000227842,0,0.000272777,0
942,0.000227842,0,0.000272777,0
943,0.000227842,0,0.000272777,0
944,0.000227842,0,0.000272777,0
945,0.000227842,0,0.000272777,0
946,0.000227842,0,0,0
947,0.000227842,0,0,0
948,0.000227842,0,0,0
949,0.000227842,0,0,0
950,0.000227842,0,0,0
951,0.000227842,0,0,0
952,0.000227842,0,0,0
953,0.000227842,0,0,0
954,0.000227842,0,0,0
955,0.000227842,0,0,0
956,0.000227842,0,0,0
957,0.000227842,0,0,0
958,0.000227842,0,0,0
959,0.000227842,0,0,0
960,0.000227842,0,0,0
961,0.000227842,0,0,0
962,0.000227842,0,0,0
963,0.000227842,0,0,0
964,0.000227842,0,0,0
965,0.000227842,0,0,0
966,0.000227842,0,0,0
967,0.000227842,0,0,0
968,0.000227842,0,0,0
969,0.000227842,0,0,0
970,0.000227842,0,0,0
971,0.000227842,0,0,0
972,0.000227842,0,0,0
973,0.000227842,0,0,0
974,0.000227842,0,0,0
975,0.000227842,0,0,0
976,0.000227842,0,0,0
977,0.000227842,0,0,0
978,0.000227842,0,0,0
979,0.000227842,0,0,0
980,0.000227842,0,0,0
981,0.000227842,0,0,0
982,0.000227842,0,0,0
983,0.000227842,0,0,0
984,0.000227842,0,0,0
985,0.000227842,0,0,0
986,0.000227842,0,0,0
987,0.000227842,0,0,0
988,0.000227842,0,0,0
989,0.000227842,0,0,0
990,0.000227842,0,0,0
991,0.000227842,0,0,0
992,0.000227842,0,0,0
993,0.000227842,0,0,0
994,0.000227842,0,0,0
995,0.000227842,0,0,0
996,0.000227842,0,0,0
997,0.000227842,0,0,0
998,0.000227842,0,0,0
999,0.000227842,0,0,0
1000,0,0,0,0
